,name,date_of_birth,height,weight,spike,block,link
73,Team manager  Olazabal Herrera Yoel, Gala Rodriguez Juan Carlos,Assistant coach,Torres Herrera Regla,Doctor,Acosta Chacon Siggilfredo,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201214025
74,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201214025
75,Assistant coach Torres Herrera Regla,Acosta Chacon Siggilfredo,Therapist / trainer,Valdes Torrens Tarik,Journalist, Izquierdo Valdes Luis Alberto,#Coach_profile
76,None None,,,,,,
77,None None,,,,,,#Coach_profile
78,None None,,,,,,
79,None None,,,,,,
80,None None,,,,,,
81,None None,,,,,,
82,None None,,,,,,
83,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=CUB&No=124086
84,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
85,Wilma Salas Rosell,09.03.1991,188,66,313,298,Players.asp?Tourn=WGP2012&Team=CUB&No=124086
86,Yanelis Santos Allegne,30.03.1986,181,69,324,304,Players.asp?Tourn=WGP2012&Team=CUB&No=118381
87,Alena Rojas Orta,09.08.1992,186,76,320,305,Players.asp?Tourn=WGP2012&Team=CUB&No=138784
88,Yoana Palacio Mendoza,06.10.1990,184,67,313,300,Players.asp?Tourn=WGP2012&Team=CUB&No=124084
89,Yunieska Robles Batista,21.03.1993,185,67,308,285,Players.asp?Tourn=WGP2012&Team=CUB&No=124161
90,Daymara Lescay Cajigal,05.09.1992,184,72,308,290,Players.asp?Tourn=WGP2012&Team=CUB&No=154412
91,Yamila Hernandez Santas,08.11.1992,182,69,301,285,Players.asp?Tourn=WGP2012&Team=CUB&No=124162
92,Emily Borrell Cruz,19.02.1992,167,55,270,260,Players.asp?Tourn=WGP2012&Team=CUB&No=124091
93,Rachel Sanchez Perez,09.01.1989,190,86,316,297,Players.asp?Tourn=WGP2012&Team=CUB&No=118391
94,Ana Lidia Cleger Abel,27.11.1989,183,69,300,285,Players.asp?Tourn=WGP2012&Team=CUB&No=118386
95,Liannes Castañeda Simon,18.10.1986,188,70,325,320,Players.asp?Tourn=WGP2012&Team=CUB&No=113990
96,Dairilys Margarita Cruz Perez,12.09.1990,183,65,310,305,Players.asp?Tourn=WGP2012&Team=CUB&No=124085
97,Rosanna Giel Ramos,10.06.1992,187,62,320,315,Players.asp?Tourn=WGP2012&Team=CUB&No=124087
98,Dayami Sanchez Savon,14.03.1994,188,64,314,302,Players.asp?Tourn=WGP2012&Team=CUB&No=133942
99,Yusidey Silie Frómeta,11.11.1984,184,77,316,300,Players.asp?Tourn=WGP2012&Team=CUB&No=118397
100,Yaremis de la Caridad Mendaro Leyva,21.04.1994,188,72,310,300,Players.asp?Tourn=WGP2012&Team=CUB&No=135957
101,Gyselle de la Caridad Silva Franco,29.10.1991,184,70,302,295,Players.asp?Tourn=WGP2012&Team=CUB&No=118398
102,Sulian Matienzo Linares,14.12.1994,178,67,318,314,Players.asp?Tourn=WGP2012&Team=CUB&No=133943
103,Jennifer Yanet Alvarez Hernandez,19.11.1993,184,72,310,294,Players.asp?Tourn=WGP2012&Team=CUB&No=124163
104,Heydi Rodríguez López,24.06.1993,184,74,310,305,Players.asp?Tourn=WGP2012&Team=CUB&No=136265
105,None None,,,,,,
106,None None,,,,,,
107,Team manager  WENDEL ALVES CAMARGO, MARCOS KWIEK,Assistant coach,WAGNER PACHECO,Doctor,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201208978
108,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201208978
109,Assistant coach WAGNER PACHECO,,Therapist / trainer,WILSON SANCHEZ,Journalist, YEIVIC JIMENEZ,#Coach_profile
110,None None,,,,,,
111,None None,,,,,,#Coach_profile
112,None None,,,,,,
113,None None,,,,,,
114,None None,,,,,,
115,None None,,,,,,
116,None None,,,,,,
117,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=DOM&No=113454
118,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
119,Annerys Victoria Vargas Valdez,07.08.1981,196,70,327,320,Players.asp?Tourn=WGP2012&Team=DOM&No=113454
120,Winifer Maria Fernandez Perez,06.01.1995,169,62,270,265,Players.asp?Tourn=WGP2012&Team=DOM&No=131956
121,Lisvel Elisa Eve Mejia,10.09.1991,194,90,325,315,Players.asp?Tourn=WGP2012&Team=DOM&No=119591
122,Marianne Fersola Norberto,16.01.1992,191,60,315,310,Players.asp?Tourn=WGP2012&Team=DOM&No=119544
123,Brenda Castillo,05.06.1992,167,55,245,230,Players.asp?Tourn=WGP2012&Team=DOM&No=119039
124,Carmen Rosa Caso Sierra,29.11.1981,168,59,240,230,Players.asp?Tourn=WGP2012&Team=DOM&No=112460
125,Niverka Dharlenis Marte Frica,19.10.1990,178,71,295,283,Players.asp?Tourn=WGP2012&Team=DOM&No=119585
126,Candida Estefany Arias Perez,11.03.1992,194,68,320,315,Players.asp?Tourn=WGP2012&Team=DOM&No=119224
127,Sidarka De Los Milagros Nuñez,25.06.1984,185,62,330,320,Players.asp?Tourn=WGP2012&Team=DOM&No=114679
128,Milagros Cabral de la Cruz,17.10.1978,182,63,325,320,Players.asp?Tourn=WGP2012&Team=DOM&No=113445
129,Jeoselyna Rodriguez Santos,09.12.1991,187,63,325,315,Players.asp?Tourn=WGP2012&Team=DOM&No=119587
130,Karla Miguelina Echenique Medina,16.05.1986,180,65,300,290,Players.asp?Tourn=WGP2012&Team=DOM&No=112464
131,Cindy Carolina Rondon Martinez,12.11.1987,186,61,320,315,Players.asp?Tourn=WGP2012&Team=DOM&No=114085
132,Prisilla Rivera Brens,29.12.1984,183,67,309,305,Players.asp?Tourn=WGP2012&Team=DOM&No=112468
133,Celenia Toribio De Leon,17.07.1994,181,69,290,286,Players.asp?Tourn=WGP2012&Team=DOM&No=131957
134,Yonkaira Paola Peña Isabel,10.05.1993,190,70,320,310,Players.asp?Tourn=WGP2012&Team=DOM&No=123978
135,Gina Altagracia Mambru Casilla,21.01.1986,182,65,330,315,Players.asp?Tourn=WGP2012&Team=DOM&No=115391
136,Bethania De La Cruz De Peña,13.05.1987,188,70,330,320,Players.asp?Tourn=WGP2012&Team=DOM&No=114294
137,Yeniffer Cristina Ramirez Espinal,17.03.1993,183,67,285,289,Players.asp?Tourn=WGP2012&Team=DOM&No=119222
138,Brayelin Elizabeth Martinez,11.09.1996,201,83,330,320,Players.asp?Tourn=WGP2012&Team=DOM&No=123982
139,None None,,,,,,
140,None None,,,,,,
141,"Team manager  Mr. WILLNAT, Matthias"," Mr. GUIDETTI, Giovanni",Assistant coach,"Mr. KOSLOWSKI, Felix",Doctor,"Mr. BARIE, Alexander",http://www.fivb.org/visasp/Img_GetImage.aspx?No=201202837
142,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201202837
143,"Assistant coach Mr. KOSLOWSKI, Felix","Mr. BARIE, Alexander",Therapist / trainer,"Mrs. BACKFISCH, Annika",Journalist," Mr. LINDENMAIR, Jan",#Coach_profile
144,None None,,,,,,
145,None None,,,,,,#Coach_profile
146,None None,,,,,,
147,None None,,,,,,
148,None None,,,,,,
149,None None,,,,,,
150,None None,,,,,,
151,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=GER&No=119315
152,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
153,Lenka Dürr,10.12.1990,171,59,280,270,Players.asp?Tourn=WGP2012&Team=GER&No=119315
154,Kathleen Weiß,02.02.1984,173,64,290,273,Players.asp?Tourn=WGP2012&Team=GER&No=113902
155,Denise Hanke,31.08.1989,183,73,297,284,Players.asp?Tourn=WGP2012&Team=GER&No=119105
156,Kerstin Tzscherlich,15.02.1978,179,72,295,282,Players.asp?Tourn=WGP2012&Team=GER&No=111003
157,Anja Brandt,15.02.1990,195,77,310,295,Players.asp?Tourn=WGP2012&Team=GER&No=119318
158,Kathy Radzuweit,02.03.1982,196,76,319,300,Players.asp?Tourn=WGP2012&Team=GER&No=112051
159,Angelina Hübner-Grün,02.12.1979,185,74,309,287,Players.asp?Tourn=WGP2012&Team=GER&No=111007
160,Berit Kauffeldt,08.07.1990,190,75,311,294,Players.asp?Tourn=WGP2012&Team=GER&No=118959
161,Corina Ssuschke-Voigt,09.05.1983,189,75,310,298,Players.asp?Tourn=WGP2012&Team=GER&No=112479
162,Anne Matthes,30.04.1985,182,66,312,295,Players.asp?Tourn=WGP2012&Team=GER&No=120334
163,Christiane Fürst,29.03.1985,193,80,323,307,Players.asp?Tourn=WGP2012&Team=GER&No=112473
164,Heike Beier,09.12.1983,184,73,305,293,Players.asp?Tourn=WGP2012&Team=GER&No=112477
165,Saskia Hippe,16.01.1991,185,67,315,292,Players.asp?Tourn=WGP2012&Team=GER&No=118954
166,Margareta Kozuch,30.10.1986,187,70,309,297,Players.asp?Tourn=WGP2012&Team=GER&No=116179
167,Maren Fromm,10.07.1986,184,68,303,295,Players.asp?Tourn=WGP2012&Team=GER&No=120333
168,Lisa Thomsen,20.08.1985,172,68,290,285,Players.asp?Tourn=WGP2012&Team=GER&No=123175
169,Lena Möllers,06.01.1990,188,74,312,297,Players.asp?Tourn=WGP2012&Team=GER&No=118946
170,Nadja Schaus,08.11.1984,187,66,305,295,Players.asp?Tourn=WGP2012&Team=GER&No=123177
171,Regina Burchardt,01.07.1983,186,77,302,294,Players.asp?Tourn=WGP2012&Team=GER&No=112480
172,Mareen Von Römer,26.03.1987,183,73,295,284,Players.asp?Tourn=WGP2012&Team=GER&No=114525
173,Claudia Steger,10.03.1990,0,0,301,284,Players.asp?Tourn=WGP2012&Team=GER&No=157610
174,Friederike Thieme,16.04.1987,187,73,302,292,Players.asp?Tourn=WGP2012&Team=GER&No=135872
175,Luise Mauersberger,02.07.1990,188,80,296,290,Players.asp?Tourn=WGP2012&Team=GER&No=118957
176,Sarah Petrausch,31.07.1990,187,85,306,295,Players.asp?Tourn=WGP2012&Team=GER&No=118953
177,None None,,,,,,
178,None None,,,,,,
179,"Team manager  ARAKIDA, Yuko (Mrs.)"," MANABE, Masayoshi",Assistant coach,"KAWAKITA, Gen / OKUBO Shigekazu",Doctor,"OBARA, Kazuhiro (1st and 2nd Week)",http://www.fivb.org/visasp/Img_GetImage.aspx?No=201212532
180,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201212532
181,"Assistant coach KAWAKITA, Gen / OKUBO Shigekazu","OBARA, Kazuhiro (1st and 2nd Week)",Therapist / trainer,"WAKAMIYA, Keiji",Journalist," TETSUYA, Yoshitomo (1st Week)",#Coach_profile
182,None None,,,,,,
183,None None,,,,,,#Coach_profile
184,None None,,,,,,
185,None None,,,,,,
186,None None,,,,,,
187,None None,,,,,,
188,None None,,,,,,
189,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=JPN&No=112716
190,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
191,Megumi Kurihara,31.07.1984,187,69,308,295,Players.asp?Tourn=WGP2012&Team=JPN&No=112716
192,Hitomi Nakamichi,18.09.1985,159,53,270,256,Players.asp?Tourn=WGP2012&Team=JPN&No=134030
193,Yoshie Takeshita,18.03.1978,159,53,280,270,Players.asp?Tourn=WGP2012&Team=JPN&No=111715
194,Kaori Inoue,21.10.1982,182,59,306,300,Players.asp?Tourn=WGP2012&Team=JPN&No=122612
195,Ai Otomo,24.03.1982,184,68,312,305,Players.asp?Tourn=WGP2012&Team=JPN&No=138790
196,Yuko Sano,26.07.1979,159,54,260,250,Players.asp?Tourn=WGP2012&Team=JPN&No=113311
197,Mai Yamaguchi,03.07.1983,176,62,304,292,Players.asp?Tourn=WGP2012&Team=JPN&No=122617
198,Kotoki Zayasu,11.01.1990,159,57,270,255,Players.asp?Tourn=WGP2012&Team=JPN&No=135413
199,Mizuho Ishida,22.01.1988,174,65,301,286,Players.asp?Tourn=WGP2012&Team=JPN&No=119191
200,Nana Iwasaka,03.07.1990,187,76,298,293,Players.asp?Tourn=WGP2012&Team=JPN&No=135410
201,Erika Shinomiya,03.08.1984,186,78,305,297,Players.asp?Tourn=WGP2012&Team=JPN&No=112717
202,Saori Kimura,19.08.1986,185,65,304,293,Players.asp?Tourn=WGP2012&Team=JPN&No=114038
203,Risa Shinnabe,11.07.1990,175,64,293,285,Players.asp?Tourn=WGP2012&Team=JPN&No=135411
204,Yukiko Ebata,07.11.1989,176,67,305,298,Players.asp?Tourn=WGP2012&Team=JPN&No=132056
205,Maiko Kano,15.07.1988,185,72,303,285,Players.asp?Tourn=WGP2012&Team=JPN&No=122614
206,Saori Sakoda,18.12.1987,175,63,305,279,Players.asp?Tourn=WGP2012&Team=JPN&No=132053
207,Kanako Hirai,15.04.1984,183,69,309,290,Players.asp?Tourn=WGP2012&Team=JPN&No=138789
208,Riho Otake,23.12.1993,182,68,306,296,Players.asp?Tourn=WGP2012&Team=JPN&No=133107
209,Kanari Hamaguchi,29.08.1985,167,60,283,269,Players.asp?Tourn=WGP2012&Team=JPN&No=122618
210,Haruka Miyashita,01.09.1994,177,61,298,272,Players.asp?Tourn=WGP2012&Team=JPN&No=132100
211,Ayumi Nakamura,29.08.1990,176,70,294,278,Players.asp?Tourn=WGP2012&Team=JPN&No=138803
212,Mai Okumura,31.10.1990,177,66,297,285,Players.asp?Tourn=WGP2012&Team=JPN&No=138802
213,Yuki Ishii,08.05.1991,180,67,305,287,Players.asp?Tourn=WGP2012&Team=JPN&No=135416
214,Miyu Nagaoka,25.07.1991,179,64,308,303,Players.asp?Tourn=WGP2012&Team=JPN&No=119385
215,Rika Nomoto,21.09.1991,180,72,308,291,Players.asp?Tourn=WGP2012&Team=JPN&No=138801
216,None None,,,,,,
217,None None,,,,,,
218,Team manager  LEE CHUN-PYO / JUNG JE-MOOK / LEE JONG-KYUNG, KIM HYUNG-SIL,Assistant coach,HONG SUNG-JIN,Doctor,SHIM BEOM-SOO / PARK JI-HUN,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201202538
219,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201202538
220,Assistant coach HONG SUNG-JIN,SHIM BEOM-SOO / PARK JI-HUN,Therapist / trainer,KIM HYO-SEUNG,Journalist, LEE SEUNG-KUN / LEE GUN,#Coach_profile
221,None None,,,,,,
222,None None,,,,,,#Coach_profile
223,None None,,,,,,
224,None None,,,,,,
225,None None,,,,,,
226,None None,,,,,,
227,None None,,,,,,
228,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=KOR&No=116431
229,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
230,Yoo Na Bae,30.11.1989,182,68,285,275,Players.asp?Tourn=WGP2012&Team=KOR&No=116431
231,Hye Seon Yeum,03.02.1991,177,65,278,263,Players.asp?Tourn=WGP2012&Team=KOR&No=120148
232,Joon-Eem Ha,26.12.1989,189,74,287,281,Players.asp?Tourn=WGP2012&Team=KOR&No=116449
233,Sa Nee Kim,21.06.1981,180,75,302,292,Players.asp?Tourn=WGP2012&Team=KOR&No=111622
234,Hae Ran Kim,16.03.1984,168,60,270,250,Players.asp?Tourn=WGP2012&Team=KOR&No=112775
235,Su Ji Kim,11.07.1987,187,68,283,273,Players.asp?Tourn=WGP2012&Team=KOR&No=114072
236,Hyo-Sook Lim,26.04.1982,177,75,278,270,Players.asp?Tourn=WGP2012&Team=KOR&No=112493
237,Jie Youn Nam,25.05.1983,170,61,285,273,Players.asp?Tourn=WGP2012&Team=KOR&No=112496
238,Jeongah Park,26.03.1993,187,75,300,290,Players.asp?Tourn=WGP2012&Team=KOR&No=131893
239,Yeon Koung Kim,26.02.1988,192,73,330,320,Players.asp?Tourn=WGP2012&Team=KOR&No=116439
240,Yoo-Mi Han,05.02.1982,180,65,307,297,Players.asp?Tourn=WGP2012&Team=KOR&No=111640
241,Songyi Han,05.09.1984,186,65,305,298,Players.asp?Tourn=WGP2012&Team=KOR&No=112772
242,Dae-Young Jung,12.08.1981,185,73,279,269,Players.asp?Tourn=WGP2012&Team=KOR&No=112033
243,Youn Joo Hwang,13.08.1986,177,64,285,265,Players.asp?Tourn=WGP2012&Team=KOR&No=114880
244,Ji-Youn Jung,28.06.1980,178,64,295,284,Players.asp?Tourn=WGP2012&Team=KOR&No=113907
245,Hye-Suk Yoon,19.06.1983,174,60,293,283,Players.asp?Tourn=WGP2012&Team=KOR&No=114879
246,Hyo Jin Yang,14.12.1989,190,72,340,338,Players.asp?Tourn=WGP2012&Team=KOR&No=116443
247,Hyejin Kim,17.02.1989,180,62,284,274,Players.asp?Tourn=WGP2012&Team=KOR&No=116436
248,Heejin Kim,29.04.1991,185,75,305,295,Players.asp?Tourn=WGP2012&Team=KOR&No=119484
249,Sook-Ja Lee,17.06.1980,175,58,286,264,Players.asp?Tourn=WGP2012&Team=KOR&No=113908
250,Min-Ji Kim,25.05.1985,187,75,304,296,Players.asp?Tourn=WGP2012&Team=KOR&No=112774
251,Bo-Lam Lee,08.08.1988,185,75,283,274,Players.asp?Tourn=WGP2012&Team=KOR&No=116441
252,Hyo Hee Lee,09.09.1980,173,58,272,252,Players.asp?Tourn=WGP2012&Team=KOR&No=117683
253,Sooji Han,01.02.1989,182,72,285,275,Players.asp?Tourn=WGP2012&Team=KOR&No=116433
254,Myungok Yim,05.05.1986,175,62,273,253,Players.asp?Tourn=WGP2012&Team=KOR&No=118028
255,None None,,,,,,
256,None None,,,,,,
257,Team manager  KASPRZYK Jacek, SWIDEREK Alojzy,Assistant coach,POPIK Wieslaw,Doctor,GACA Michal,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201209140
258,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201209140
259,Assistant coach POPIK Wieslaw,GACA Michal,Therapist / trainer,KOSSAKOWSKI Szymon,Journalist, WOJTANIA Marcin,#Coach_profile
260,None None,,,,,,
261,None None,,,,,,#Coach_profile
262,None None,,,,,,
263,None None,,,,,,
264,None None,,,,,,
265,None None,,,,,,
266,None None,,,,,,
267,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=POL&No=112560
268,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
269,Anna Podolec,30.10.1985,193,71,318,305,Players.asp?Tourn=WGP2012&Team=POL&No=112560
270,Krystyna Strasz,24.07.1987,165,55,0,252,Players.asp?Tourn=WGP2012&Team=POL&No=132063
271,Karolina Rozycka,28.06.1985,183,68,305,284,Players.asp?Tourn=WGP2012&Team=POL&No=132060
272,Izabela Belcik,29.11.1980,185,65,304,292,Players.asp?Tourn=WGP2012&Team=POL&No=113513
273,Berenika Tomsia,18.03.1988,188,72,310,302,Players.asp?Tourn=WGP2012&Team=POL&No=114293
274,Agnieszka Bednarek-Kasza,20.02.1986,185,71,310,295,Players.asp?Tourn=WGP2012&Team=POL&No=119134
275,Joanna Kaczor,16.09.1984,191,64,305,290,Players.asp?Tourn=WGP2012&Team=POL&No=112557
276,Katarzyna Skorupa,16.09.1984,183,69,302,296,Players.asp?Tourn=WGP2012&Team=POL&No=112699
277,Ewelina Brzezinska,26.01.1988,182,68,308,280,Players.asp?Tourn=WGP2012&Team=POL&No=132059
278,Kinga Kasprzak,12.06.1987,188,76,310,295,Players.asp?Tourn=WGP2012&Team=POL&No=132064
279,Anna Werblinska,14.05.1984,178,66,308,292,Players.asp?Tourn=WGP2012&Team=POL&No=112544
280,Izabela Kowalinska,23.02.1985,186,77,300,283,Players.asp?Tourn=WGP2012&Team=POL&No=112696
281,Paulina Maj-Erwardt,22.03.1987,166,58,277,255,Players.asp?Tourn=WGP2012&Team=POL&No=118379
282,Joanna Wolosz,07.04.1990,181,71,303,281,Players.asp?Tourn=WGP2012&Team=POL&No=118591
283,Katarzyna Gajgal,21.09.1981,190,85,300,287,Players.asp?Tourn=WGP2012&Team=POL&No=120320
284,Elzbieta Nykiel,06.07.1983,183,69,305,280,Players.asp?Tourn=WGP2012&Team=POL&No=122956
285,Katarzyna Skowronska-Dolata,30.06.1983,189,75,314,296,Players.asp?Tourn=WGP2012&Team=POL&No=112551
286,Maja Tokarska,22.02.1991,193,72,325,293,Players.asp?Tourn=WGP2012&Team=POL&No=118590
287,Monika Ptak,14.05.1990,187,72,310,289,Players.asp?Tourn=WGP2012&Team=POL&No=118595
288,Klaudia Kaczorowska,20.12.1988,184,68,303,281,Players.asp?Tourn=WGP2012&Team=POL&No=119139
289,Paulina Glaz,04.01.1994,184,72,303,287,Players.asp?Tourn=WGP2012&Team=POL&No=136438
290,Zuzanna Czyznielewska,24.04.1992,186,69,300,279,Players.asp?Tourn=WGP2012&Team=POL&No=135804
291,Iga Chojnacka,21.04.1994,183,68,300,280,Players.asp?Tourn=WGP2012&Team=POL&No=135800
292,Agnieszka Kakolewska,17.10.1994,197,75,309,295,Players.asp?Tourn=WGP2012&Team=POL&No=136317
293,Dorota Wilk,28.04.1988,178,66,290,0,Players.asp?Tourn=WGP2012&Team=POL&No=138827
294,None None,,,,,,
295,None None,,,,,,
296,Team manager  Jose Luis Lopez, David Aleman,Assistant coach,Rafael Olazagasti,Doctor,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201201339
